Make,Model,Class,Engine_L,Cylinders,Drive,City_MPG,Hwy_MPG,Combined_MPG,Annual_Fuel_Cost,CO2_grams_per_mi
Cadillac,ESCALADE V AWD,Standard SUV 4WD,6.2,8,Four-Wheel,11,17,13,4800,691
Chevrolet,SUBURBAN 4WD,Standard SUV 4WD,6.2,8,Four-Wheel,14,18,16,3900,572
Chevrolet,SUBURBAN 4WD,Standard SUV 4WD,5.3,8,Four-Wheel,14,19,16,3100,571
Chevrolet,SUBURBAN 4WD,Standard SUV 4WD,3.0,6,Four-Wheel,20,24,22,2450,460
Chevrolet,TAHOE 4WD,Standard SUV 4WD,3.0,6,Four-Wheel,20,24,22,2450,460
Chevrolet,TAHOE 4WD (5.3L),Standard SUV 4WD,5.3,8,Four-Wheel,15,19,17,2900,536
Chevrolet,TAHOE 4WD (6.2L),Standard SUV 4WD,6.2,8,Four-Wheel,14,18,16,3900,572
Chevrolet,TRAVERSE AWD,Standard SUV 4WD,2.5,4,All-Wheel,20,24,21,2350,423
Dodge,Durango AWD,Standard SUV 4WD,3.6,6,All-Wheel,17,24,20,2500,449
Dodge,Durango AWD,Standard SUV 4WD,5.7,8,All-Wheel,14,21,16,3550,541
Ford,EXPLORER AWD,Standard SUV 4WD,3.0,6,Part-Time 4WD,18,25,20,2500,439
Ford,EXPLORER AWD,Standard SUV 4WD,2.3,4,Part-Time 4WD,20,27,23,2150,394
Ford,EXPLORER TREMOR AWD,Standard SUV 4WD,3.0,6,Part-Time 4WD,17,22,19,2600,467
Ford,EXPLORER TREMOR AWD,Standard SUV 4WD,2.3,4,Part-Time 4WD,19,23,21,2350,424
GENESIS,GV80 AWD,Standard SUV 4WD,2.5,4,All-Wheel,19,24,21,2950,427
GENESIS,GV80 AWD,Standard SUV 4WD,3.5,6,All-Wheel,16,22,19,3300,473
GENESIS,GV80 MHEV,Standard SUV 4WD,3.5,6,All-Wheel,17,22,19,3300,467
GMC,ACADIA AWD,Standard SUV 4WD,2.5,4,All-Wheel,20,23,21,2350,423
GMC,YUKON 4WD,Standard SUV 4WD,6.2,8,Four-Wheel,14,18,16,3900,572
GMC,YUKON 4WD,Standard SUV 4WD,5.3,8,Four-Wheel,15,19,17,2900,536
GMC,YUKON 4WD,Standard SUV 4WD,3.0,6,Four-Wheel,20,24,22,2450,460
GMC,YUKON XL 4WD,Standard SUV 4WD,6.2,8,Four-Wheel,14,18,16,3900,572
GMC,YUKON XL 4WD,Standard SUV 4WD,5.3,8,Four-Wheel,14,19,16,3100,571
GMC,YUKON XL 4WD,Standard SUV 4WD,3.0,6,Four-Wheel,20,24,22,2450,460
HYUNDAI MOTOR COMPANY,Palisade AWD,Standard SUV 4WD,3.5,6,All-Wheel,18,24,20,2500,444
HYUNDAI MOTOR COMPANY,Palisade Hybrid AWD,Standard SUV 4WD,2.5,4,All-Wheel,29,30,29,1700,300
HYUNDAI MOTOR COMPANY,Palisade XRT Pro,Standard SUV 4WD,3.5,6,All-Wheel,16,22,19,2600,479
INFINITI,QX60 AWD,Standard SUV 4WD,2.0,4,All-Wheel,22,27,24,2600,374
INFINITI,QX80 4WD,Standard SUV 4WD,3.5,6,Four-Wheel,16,19,17,3650,522
Land Rover,Defender 110,Standard SUV 4WD,2.0,4,Four-Wheel,18,22,20,3100,452
Land Rover,Defender 110,Standard SUV 4WD,5.0,8,Four-Wheel,14,18,16,3900,574
Land Rover,Defender 110 MHEV,Standard SUV 4WD,3.0,6,Four-Wheel,18,22,20,3100,453
Land Rover,Defender 110 MHEV,Standard SUV 4WD,4.4,8,Four-Wheel,15,19,17,3650,534
Land Rover,Defender 110 Trophy MHEV,Standard SUV 4WD,3.0,6,Four-Wheel,17,18,17,3650,512
Land Rover,Defender 130,Standard SUV 4WD,5.0,8,Four-Wheel,14,19,16,3900,567
Land Rover,Defender 130 Outbound,Standard SUV 4WD,3.0,6,Four-Wheel,17,19,18,3450,500
Land Rover,Defender 130 P300 MHEV,Standard SUV 4WD,3.0,6,Four-Wheel,17,21,19,3300,468
Land Rover,Defender 130 P400 MHEV,Standard SUV 4WD,3.0,6,Four-Wheel,16,20,18,3450,491
Land Rover,Defender 90,Standard SUV 4WD,2.0,4,Four-Wheel,18,21,19,3300,465
Land Rover,Defender 90,Standard SUV 4WD,5.0,8,Four-Wheel,15,19,16,3900,550
Land Rover,Defender 90 MHEV,Standard SUV 4WD,3.0,6,Four-Wheel,18,23,20,3100,448
Land Rover,Discovery MHEV,Standard SUV 4WD,3.0,6,Four-Wheel,17,23,19,3300,457
Land Rover,Range Rover LWB MHEV,Standard SUV 4WD,4.4,8,Four-Wheel,16,22,18,3450,501
Land Rover,Range Rover MHEV,Standard SUV 4WD,4.4,8,Four-Wheel,16,23,19,3300,477
Land Rover,Range Rover P400 LWB MHEV,Standard SUV 4WD,3.0,6,Four-Wheel,19,24,21,2950,428
Land Rover,Range Rover P400 MHEV,Standard SUV 4WD,3.0,6,Four-Wheel,19,24,21,2950,428
Land Rover,Range Rover Sport MHEV,Standard SUV 4WD,4.4,8,Four-Wheel,16,23,19,3300,477
Land Rover,Range Rover Sport SVR MHEV,Standard SUV 4WD,4.4,8,Four-Wheel,16,22,18,3450,497
Land Rover,Range Rover SV LWB MHEV,Standard SUV 4WD,4.4,8,Four-Wheel,16,22,18,3450,501
Land Rover,Range Rover SV MHEV,Standard SUV 4WD,4.4,8,Four-Wheel,16,23,18,3450,487
LEXUS,TX 350 AWD,Standard SUV 4WD,2.4,4,All-Wheel,20,26,23,2700,387
LEXUS,TX 500h AWD,Standard SUV 4WD,2.4,4,All-Wheel,27,28,27,2300,322
Lincoln,AVIATOR AWD,Standard SUV 4WD,3.0,6,Part-Time 4WD,17,25,20,2500,447
MAZDA,MAZDA CX-90 4WD,Standard SUV 4WD,3.3,6,Four-Wheel,23,28,25,2000,358
MAZDA,MAZDA CX-90 4WD,Standard SUV 4WD,3.3,6,Four-Wheel,23,28,25,2500,354
Mercedes-Benz,AMG G 63,Standard SUV 4WD,4.0,8,Four-Wheel,14,16,15,4150,608
Mercedes-Benz,AMG GLE 53 4MATIC+,Standard SUV 4WD,3.0,6,All-Wheel,18,23,20,3100,439
Mercedes-Benz,AMG GLE 53 4MATIC+ (coupe),Standard SUV 4WD,3.0,6,All-Wheel,18,22,20,3100,454
Mercedes-Benz,AMG GLE 63 S 4MATIC+,Standard SUV 4WD,4.0,8,All-Wheel,15,20,17,3650,528
Mercedes-Benz,AMG GLE 63 S 4MATIC+ (coupe),Standard SUV 4WD,4.0,8,All-Wheel,15,21,17,3650,523
Mercedes-Benz,AMG GLS 63 4MATIC+,Standard SUV 4WD,4.0,8,All-Wheel,15,20,17,3650,538
Mercedes-Benz,G 550,Standard SUV 4WD,3.0,6,Four-Wheel,17,19,18,3450,490
Mercedes-Benz,GLE 450 4MATIC,Standard SUV 4WD,3.0,6,All-Wheel,19,25,21,2950,424
Mercedes-Benz,GLE 450 4MATIC (coupe),Standard SUV 4WD,3.0,6,All-Wheel,19,25,21,2950,424
Mercedes-Benz,GLE 580 4MATIC,Standard SUV 4WD,4.0,8,All-Wheel,15,21,18,3450,506
Mercedes-Benz,GLS 450 4MATIC,Standard SUV 4WD,3.0,6,All-Wheel,19,24,21,2950,428
Mercedes-Benz,GLS 580 4MATIC,Standard SUV 4WD,4.0,8,All-Wheel,14,20,16,3900,539
Mercedes-Benz,GLS 600 4MATIC Maybach,Standard SUV 4WD,4.0,8,All-Wheel,13,18,15,4150,585
NISSAN,ARMADA 4WD,Standard SUV 4WD,3.5,6,Four-Wheel,16,19,17,3650,524
NISSAN,ARMADA 4WD PRO-4X,Standard SUV 4WD,3.5,6,Four-Wheel,15,18,16,3900,556
Porsche,Cayenne,Standard SUV 4WD,3.0,6,All-Wheel,17,23,19,3300,469
Porsche,Cayenne Coupe,Standard SUV 4WD,3.0,6,All-Wheel,17,23,19,3300,469
Porsche,Cayenne GTS,Standard SUV 4WD,4.0,8,All-Wheel,15,22,18,3450,512
Porsche,Cayenne GTS Coupe,Standard SUV 4WD,4.0,8,All-Wheel,16,22,18,3450,489
Porsche,Cayenne S,Standard SUV 4WD,4.0,8,All-Wheel,16,21,18,3450,492
Porsche,Cayenne S Coupe,Standard SUV 4WD,4.0,8,All-Wheel,16,21,18,3450,492
Porsche,Cayenne Turbo GT,Standard SUV 4WD,4.0,8,All-Wheel,15,20,17,3650,521
Rolls-Royce Motor Cars Limited,Black Badge Cullinan,Standard SUV 4WD,6.7,12,All-Wheel,12,19,14,4450,609
Rolls-Royce Motor Cars Limited,Cullinan,Standard SUV 4WD,6.7,12,All-Wheel,12,19,14,4450,609
Subaru,ASCENT AWD,Standard SUV 4WD,2.4,4,All-Wheel,19,26,22,2250,405
Subaru,ASCENT LIMITED/TOURING/ONYX EDITION AWD,Standard SUV 4WD,2.4,4,All-Wheel,19,25,21,2350,421
TOYOTA,GRAND HIGHLANDER AWD LE/XLE,Standard SUV 4WD,2.4,4,All-Wheel,21,27,23,2150,379
TOYOTA,GRAND HIGHLANDER AWD LIMITED/PLATINUM,Standard SUV 4WD,2.4,4,All-Wheel,20,26,22,2250,400
TOYOTA,GRAND HIGHLANDER HYBRID AWD,Standard SUV 4WD,2.5,4,All-Wheel,36,32,34,1450,260
TOYOTA,GRAND HIGHLANDER HYBRID AWD,Standard SUV 4WD,2.4,4,All-Wheel,26,27,27,1850,332
TOYOTA,LAND CRUISER,Standard SUV 4WD,2.4,4,Four-Wheel,22,25,23,2700,379
TOYOTA,SEQUOIA 4WD,Standard SUV 4WD,3.4,6,Part-Time 4WD,19,22,20,2500,439
TOYOTA,SEQUOIA 4WD,Standard SUV 4WD,3.4,6,Part-Time 4WD,19,22,20,3100,439
"Volvo Cars of North America, LLC",XC90 B5 AWD,Standard SUV 4WD,2.0,4,All-Wheel,22,27,24,2600,369
"Volvo Cars of North America, LLC",XC90 B6 AWD,Standard SUV 4WD,2.0,4,All-Wheel,20,26,23,2700,393
